ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,reason_start
2023-11-30T20:41:48Z,14649,Dream Of Running,Jasmine Jethwa,fwdbtn
2023-11-30T20:41:52Z,4445,Bad Habit,Steve Lacy,fwdbtn
2023-11-30T20:41:56Z,2535,Home,Vacations,fwdbtn
2023-11-30T20:41:58Z,1795,Jars of It,Steve Lacy,fwdbtn
2023-11-30T20:42:31Z,33154,Language,Paperboy Fabe,fwdbtn
2023-11-30T20:42:32Z,1066,Hora de Aventura,Rodrigo Zin,fwdbtn
2023-11-30T20:42:33Z,1254,Wham Bam Shang-A-Lang,Silver,fwdbtn
2023-11-30T20:42:37Z,2654,I Want You Back,The Jackson 5,fwdbtn
2023-11-30T20:43:26Z,48878,Wham Bam Shang-A-Lang,Silver,backbtn
2023-11-30T20:43:36Z,9976,I Want You Back,The Jackson 5,fwdbtn
2023-11-30T20:43:43Z,5751,Southern Nights,Glen Campbell,fwdbtn
2023-11-30T20:43:49Z,5820,I Just Wanna Feel Your Love Again,Montell Fish,fwdbtn
2023-11-30T20:45:35Z,105529,Too High (feat. Jesse),Goody Grace,fwdbtn
2023-11-30T20:45:40Z,3870,melt,diet lemon,fwdbtn
2023-11-30T20:46:15Z,34334,& Cry!,Middle Part,fwdbtn
2023-11-30T20:46:17Z,1260,Friends,Chase Atlantic,fwdbtn
2023-11-30T20:46:23Z,4637,Prey,The Neighbourhood,fwdbtn
2023-11-30T20:46:42Z,19224,JENNIFER'S BODY,PLVTINUM,fwdbtn
2023-11-30T20:46:45Z,2884,Shut up My Moms Calling,Hotel Ugly,fwdbtn
2023-11-30T20:46:48Z,2139,DRUGS & DIOR,PLVTINUM,fwdbtn
2023-11-30T20:46:53Z,3755,Wxnderlxnd,VICE MONRÖE,fwdbtn
2023-11-30T20:46:54Z,1065,serial liar,Gun Boi Kaz,fwdbtn
2023-11-30T20:46:58Z,2667,ULTRAVIOLET,Dutch Melrose,fwdbtn
2023-11-30T20:47:28Z,29962,Dancing With Your Ghost,Sasha Alex Sloan,fwdbtn
2023-11-30T20:47:33Z,3993,Grandmother,Hotel Ugly,fwdbtn
2023-11-30T20:47:35Z,1459,Into It,Chase Atlantic,fwdbtn
2023-11-30T20:47:36Z,1428,Swim,Chase Atlantic,fwdbtn
2023-11-30T20:47:37Z,1178,older,Isabel LaRosa,fwdbtn
2023-11-30T20:47:42Z,4326,melhor ou pior,THAIS,fwdbtn
2023-11-30T20:49:51Z,131495,Stevie Doesn't Wonder,Hotel Ugly,fwdbtn
2023-11-30T20:51:25Z,105486,Heavy Heart,Pity Party (Girls Club),trackdone
2023-11-30T20:53:23Z,130370,Start Over,Planet Giza,trackdone
2023-11-30T20:56:28Z,197053,Broken,Gorillaz,trackdone
2023-11-30T21:00:47Z,267920,Consume (feat. Goon Des Garcons),Chase Atlantic,trackdone
2023-11-30T21:12:11Z,91946,Slow Down,Chase Atlantic,trackdone
2023-11-30T21:15:39Z,2014,Breakfast in Bed,Rayana Jay,clickrow
2023-11-30T21:19:12Z,215500,Summer Nights,SIAMES,clickrow
2023-11-30T21:22:22Z,199906,Calling U Back,The Marías,trackdone
2023-11-30T21:25:21Z,181893,Hush,The Marías,trackdone
2023-11-30T21:27:49Z,146973,Spin Me Around,The Marías,trackdone
2023-11-30T21:30:43Z,185000,Shameful Game,Pale Jay,trackdone
2023-11-30T21:33:46Z,195093,right here,keshi,trackdone
2023-11-30T21:37:50Z,256453,Paradise,Chase Atlantic,trackdone
2023-11-30T21:41:51Z,252000,Moonlight,Chase Atlantic,trackdone
2023-11-30T21:44:28Z,169720,HER,Chase Atlantic,trackdone
2023-11-30T21:44:41Z,22167,Heather,Conan Gray,trackdone
2023-11-30T21:47:49Z,190680,GREENGREENGREEN,Chase Atlantic,clickrow
2023-11-30T21:51:24Z,226835,OHMAMI,Chase Atlantic,trackdone
2023-11-30T21:54:28Z,195918,OUT THE ROOF,Chase Atlantic,trackdone
2023-11-30T21:58:20Z,244426,Caribbean Queen (No More Love On the Run),Billy Ocean,trackdone
2023-11-30T22:02:35Z,266600,Little Talks,Of Monsters and Men,trackdone
2023-11-30T22:04:17Z,110994,TiK ToK,Kesha,trackdone
2023-11-30T22:30:20Z,220440,I Know,Big Sean,clickrow
2023-12-01T02:41:23Z,1030,Slow Down,Chase Atlantic,appload
2023-12-01T02:41:36Z,12630,Schönefeld,Bathe,fwdbtn
2023-12-01T02:52:16Z,180000,Conversations,Xavier Mayne,clickrow
2023-12-01T02:55:05Z,180009,Thinkin Bout You,Frank Ocean,trackdone
2023-12-01T02:55:15Z,1003,I Know,Big Sean,trackdone
2023-12-01T12:52:01Z,200746,Thinkin Bout You,Frank Ocean,clickrow
2023-12-01T12:59:57Z,245336,I Know,Big Sean,trackdone
2023-12-01T13:02:54Z,176574,Thinkin Bout You,Frank Ocean,clickrow
2023-12-01T13:07:06Z,172667,GREENGREENGREEN,Chase Atlantic,clickrow
2023-12-01T13:09:30Z,145434,HER,Chase Atlantic,clickrow
2023-12-01T13:09:41Z,20385,Heather,Conan Gray,trackdone
2023-12-01T13:42:25Z,150000,Conversations,Xavier Mayne,clickrow
2023-12-01T13:42:44Z,1010,Thinkin Bout You,Frank Ocean,trackdone
2023-12-01T13:51:22Z,6640,Thinkin Bout You,Frank Ocean,appload
2023-12-01T13:51:42Z,8720,Thinkin Bout You,Frank Ocean,appload
2023-12-01T13:52:28Z,45490,AUTOMOTIVO DA ZONA SUL 4,DJ HG MLK É BRABO,clickrow
2023-12-01T13:52:54Z,25180,99 Problemas,Duquesa,fwdbtn
2023-12-01T13:53:28Z,34490,PEGA MEU BONECO 2,DJ JN PROD,fwdbtn
2023-12-01T13:56:19Z,171618,Engana Dizendo Que Ama (Speed Up),Wass Og,fwdbtn
2023-12-01T13:56:46Z,38341,A Última Diamba,Link do Zap,trackdone
2023-12-01T13:58:04Z,77500,Zidane,Frost,fwdbtn
2023-12-01T14:01:00Z,30040,Recomeçar Vs Sem Sentimento,MC BF,fwdbtn
2023-12-01T14:02:52Z,112660,você é insignificante (tô falando de você mesmo),gielinha33,fwdbtn
2023-12-01T14:03:59Z,66080,Minas de Franjinha,DJ Wkilla,fwdbtn
2023-12-01T14:05:41Z,102080,Não Foi do Nada,Ajuliacosta,fwdbtn
2023-12-01T14:06:12Z,31180,Uma Semana Sem Foder,MC PQD,fwdbtn
2023-12-01T14:07:06Z,53930,Plof Plof,MC BEATRIZ,fwdbtn
2023-12-01T14:07:38Z,31420,Automotivo Melodico 3,GP DA ZL,fwdbtn
2023-12-01T14:07:41Z,3130,Será? (Speed),dreko,fwdbtn
2023-12-01T14:07:55Z,13780,Glock de ipanema,LX,fwdbtn
2023-12-01T14:08:35Z,39960,Diamante,Mc Zoio de Gato,fwdbtn
2023-12-01T14:08:42Z,6150,Maison Margiela,Lil Vith,fwdbtn
2023-12-01T14:10:03Z,81320,Rick Sanchez,Vico C,fwdbtn
2023-12-01T14:11:04Z,60220,SE BUCETA FOSSE GOL NOIS DUSPUTAVA COM MESSI,PL JUNIOR,fwdbtn
2023-12-01T14:11:27Z,22670,Planos - Remix,pedrwthekid,fwdbtn
2023-12-01T14:11:46Z,19820,Até o Amanhecer - Speed,MARINA NA VOZ,fwdbtn
2023-12-01T14:13:34Z,108273,"ENTRA NA MENTE SENTA PRA GENTE, DANDO IDEIA QUE HJ TA CARENTE x TAMBORZIN RJ",DEENE MAXIMO - PERFIL ²,fwdbtn
2023-12-01T14:14:04Z,41156,Quando Te Vi,Gaab,trackdone
2023-12-01T14:14:06Z,1660,No Baile Nós É Mídia,DJ Henrique da VK,fwdbtn
2023-12-01T14:14:10Z,3370,Marfim,Nego Di,fwdbtn
2023-12-01T14:16:25Z,135117,Indiscreta,Enzo Cello,fwdbtn
2023-12-01T14:16:33Z,18902,Malovi,Kauzz,trackdone
2023-12-01T14:18:16Z,104571,Waifu,Xehli G,fwdbtn
2023-12-01T14:20:11Z,125938,Geme Bem Baixinho,Dj Cabide,trackdone
2023-12-01T14:23:16Z,185217,Tipo Mahoraga,MHRAP,clickrow
2023-12-01T14:23:51Z,46022,Chá de Sumiço - Ao Vivo,Papu,trackdone
